image_0.png,target,156,98,237,136,
image_1.png,target,153,94,233,134,
image_102.png,target,357,102,400,134,
image_12.png,target,175,78,252,122,
image_129.png,target,350,91,400,124,
image_130.png,target,327,77,400,123,
image_131.png,target,314,78,400,124,
image_132.png,target,288,81,374,128,
image_134.png,target,260,91,342,136,
image_135.png,target,244,92,327,139,
image_139.png,target,183,99,273,143,
image_14.png,target,177,77,255,122,
image_143.png,target,115,98,198,139,
image_145.png,target,88,98,174,140,
image_147.png,target,52,99,142,141,
image_148.png,target,41,100,130,142,
image_149.png,target,20,106,105,149,
image_15.png,target,179,75,254,118,
image_151.png,target,1,111,74,154,
image_152.png,target,1,114,55,155,
image_16.png,target,177,75,255,118,
image_17.png,target,176,75,253,120,
image_170.png,target,1,126,77,168,
image_172.png,target,22,124,105,167,
image_174.png,target,50,119,134,162,
image_175.png,target,70,113,154,156,
image_176.png,target,82,107,165,152,
image_177.png,target,101,102,186,144,
image_18.png,target,171,76,251,120,
image_180.png,target,140,93,226,139,
image_181.png,target,163,84,247,131,
image_184.png,target,196,81,277,127,
image_185.png,target,209,82,288,129,
image_186.png,target,213,83,291,130,
image_187.png,target,218,85,296,132,
image_188.png,target,218,88,296,133,
image_189.png,target,216,90,295,136,
image_193.png,target,199,104,280,157,
image_194.png,target,198,111,277,162,
image_195.png,target,195,123,271,172,
image_196.png,target,193,129,269,180,
image_2.png,target,149,93,230,132,
image_20.png,target,167,78,244,122,
image_201.png,target,188,174,265,224,
image_202.png,target,186,185,266,234,
image_203.png,target,189,190,266,236,
image_205.png,target,192,202,270,251,
image_206.png,target,190,211,268,260,
image_207.png,target,189,215,268,265,
image_208.png,target,189,224,268,272,
image_21.png,target,160,80,239,123,
image_210.png,target,191,224,267,269,
image_211.png,target,190,221,270,266,
image_212.png,target,192,210,272,259,
image_213.png,target,195,205,274,254,
image_214.png,target,194,199,276,244,
image_216.png,target,195,187,274,235,
image_218.png,target,190,159,270,207,
image_220.png,target,190,133,268,182,
image_221.png,target,190,129,269,173,
image_225.png,target,199,96,279,142,
image_23.png,target,156,77,233,121,
image_232.png,target,205,19,284,66,
image_233.png,target,209,10,287,58,
